Balticum Platinum
-----
Sausis
-----
2026-01-01 - Ketvirtadienis
01:00 Romantinis serialas „Naujametinė magija“ (3) (Ukraina, 2024 m.) (N-7)
02:00 Romantinis serialas „Naujametinė magija“ (4) (Ukraina, 2024 m.) (N-7)
07:00 Detektyvinis serialas „Tyrėjų porelė“ (9) (Ukraina, 2024 m.) (N-7)
08:00 Detektyvinis serialas „Tyrėjų porelė“ (10) (Ukraina, 2024 m.) (N-7)
09:00 Detektyvinis serialas „Tyrėjų porelė“ (11) (Ukraina, 2024 m.) (N-7)
10:00 Detektyvinis serialas „Tyrėjų porelė“ (12) (Ukraina, 2024 m.) (N-7)
11:00 Detektyvinis serialas „Tyrėjų porelė“ (13) (Ukraina, 2024 m.) (N-7)
12:00 Detektyvinis serialas „Tyrėjų porelė“ (14) (Ukraina, 2024 m.) (N-7)
13:00 Detektyvinis serialas „Tyrėjų porelė“ (15) (Ukraina, 2024 m.) (N-7)
14:00 Detektyvinis serialas „Tyrėjų porelė“ (16) (Ukraina, 2024 m.) (N-7)
15:00 Humoro serialas „Prakeikta keptuvė“ (1) (Ukraina, 2025 m.) (N-7)
16:00 Humoro serialas „Prakeikta keptuvė“ (2) (Ukraina, 2025 m.) (N-7)
17:00 Humoro serialas „Prakeikta keptuvė“ (3) (Ukraina, 2025 m.) (N-7)
18:00 Humoro serialas „Prakeikta keptuvė“ (4) (Ukraina, 2025 m.) (N-7)
19:00 Romantinis draminis serialas „Sužadėtinė“ (1) (Ukraina, 2024 m.) (N-7)
20:00 Romantinis draminis serialas „Sužadėtinė“ (2) (Ukraina, 2024 m.) (N-7)
21:00 Romantinis draminis serialas „Sužadėtinė“ (3) (Ukraina, 2024 m.) (N-7)
22:00 Romantinis draminis serialas „Sužadėtinė“ (4) (Ukraina, 2024 m.) (N-7)
23:00 Komiškas draminis serialas „Kelias namo“ (1) (Ukraina, 2024 m.) (N-7)

2026-01-05 - Pirmadienis
00:00 Komiškas draminis serialas „Kelias namo“ (2) (Ukraina, 2024 m.) (N-7)
01:00 Komiškas draminis serialas „Kelias namo“ (3) (Ukraina, 2024 m.) (N-7)
02:00 Komiškas draminis serialas „Kelias namo“ (4) (Ukraina, 2024 m.) (N-7)
07:00 Romantinis serialas „Naujametinė magija“ (1) (Ukraina, 2024 m.) (N-7)
08:00 Detektyvinis serialas „Tėvas“ (1) (Ukraina, 2024 m.) (N-7)
09:00 Detektyvinis serialas „Tėvas“ (2) (Ukraina, 2024 m.) (N-7)
10:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (1) (Ukraina, 2024 m.) (N-7)
11:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (2) (Ukraina, 2024 m.) (N-7)
12:00 Draminis serialas „Traukinys“ (1) (Ukraina, 2024 m.) (N-7)
13:00 Draminis serialas „Traukinys“ (2) (Ukraina, 2024 m.) (N-7)
14:00 Romantinis serialas „Naujametinė magija“ (1) (Ukraina, 2024 m.) (N-7)
15:00 Detektyvinis serialas „Tėvas“ (1) (Ukraina, 2024 m.) (N-7)
16:00 Detektyvinis serialas „Tėvas“ (2) (Ukraina, 2024 m.) (N-7)
17:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (1) (Ukraina, 2024 m.) (N-7)
18:00 Detektyvinis serialas „Pavyzdinė operatyvinė grupė“ (2) (Ukraina, 2024 m.) (N-7)
19:00 Romantinis serialas „Naujametinė magija“ (1) (Ukraina, 2024 m.) (N-7)
20:00 Humoro serialas „Didieji Vuikai“ (2/1-2) (Ukraina, 2020 m.) (N-7) / Premjera
21:00 Detektyvinis serialas „Tėvas“ (1) (Ukraina, 2024 m.) (N-7)
22:00 Detektyvinis serialas „Tėvas“ (2) (Ukraina, 2024 m.) (N-7)
23:00 Draminis serialas „Traukinys“ (1) (Ukraina, 2024 m.) (N-7)

2026-01-06 - Antradienis
00:00 Draminis serialas „Traukinys“ (2) (Ukraina, 2024 m.) (N-7)
01:00 Humoro serialas „Didieji Vuikai“ (2/1-2) (Ukraina, 2020 m.) (N-7)
07:00 Romantinis serialas „Naujametinė magija“ (2) (Ukraina, 2024 m.) (N-7)
